Incorrect:

Errors:

Does not match convention:
('deci*metre*gram', 'dmg')
('nano*metre*gram', 'n*m*g')
('nano*metre*gram', 'n m g')
('nano*metre*gram', 'nmg')
('pico*metre*gram', 'p*m*g')
('pico*metre*gram', 'p m g')
('pico*metre*gram', 'pmg')
('atto*metre*gram', 'a*m*g')
('atto*metre*gram', 'a m g')
('atto*metre*gram', 'amg')
('exa*metre*gram', 'E*m*g')
('exa*metre*gram', 'E m g')
('exa*metre*gram', 'Emg')
('yotta*metre*mole', 'Y*m*mol')
('yotta*metre*mole', 'Y m mol')
('yotta*metre*mole', 'Ymmol')
('zetta*metre*mole', 'Z*m*mol')
('zetta*metre*mole', 'Z m mol')
('zetta*metre*mole', 'Zmmol')
('hecto*metre*mole', 'h*m*mol')
('hecto*metre*mole', 'h m mol')
('hecto*metre*mole', 'hmmol')
('centi*metre*mole', 'c*m*mol')
('centi*metre*mole', 'c m mol')
('centi*metre*mole', 'cmmol')
('milli*metre*mole', 'm*m*mol')
('milli*metre*mole', 'm m mol')
('milli*metre*mole', 'mmmol')
('micro*metre*mole', 'mu*m*mol')
('micro*metre*mole', 'mu m mol')
('micro*metre*mole', 'mummol')
('femto*metre*mole', 'f*m*mol')
('femto*metre*mole', 'f m mol')
('femto*metre*mole', 'fmmol')
('zepto*metre*mole', 'z*m*mol')
('zepto*metre*mole', 'z m mol')
('zepto*metre*mole', 'zmmol')
('yocto*metre*mole', 'y*m*mol')
('yocto*metre*mole', 'y m mol')
('yocto*metre*mole', 'ymmol')
('peta*metre*mole', 'P*m*mol')
('peta*metre*mole', 'P m mol')
('peta*metre*mole', 'Pmmol')
('tera*metre*mole', 'T*m*mol')
('tera*metre*mole', 'T m mol')
('tera*metre*mole', 'Tmmol')
('giga*metre*mole', 'G*m*mol')
('giga*metre*mole', 'G m mol')
('giga*metre*mole', 'Gmmol')
('mega*metre*mole', 'M*m*mol')
('mega*metre*mole', 'M m mol')
('mega*metre*mole', 'Mmmol')
('kilo*metre*mole', 'k*m*mol')
('kilo*metre*mole', 'k m mol')
('kilo*metre*mole', 'kmmol')
('deka*metre*mole', 'da*m*mol')
('deka*metre*mole', 'da m mol')
('deka*metre*mole', 'dammol')
('deci*metre*mole', 'd*m*mol')
('deci*metre*mole', 'd m mol')
('deci*metre*mole', 'dmmol')
('nano*metre*mole', 'n*m*mol')
('nano*metre*mole', 'n m mol')
('nano*metre*mole', 'nmmol')
('pico*metre*mole', 'p*m*mol')
('pico*metre*mole', 'p m mol')
('pico*metre*mole', 'pmmol')
('atto*metre*mole', 'a*m*mol')
('atto*metre*mole', 'a m mol')
('atto*metre*mole', 'ammol')
('exa*metre*mole', 'E*m*mol')
('exa*metre*mole', 'E m mol')
